city_name,city_id,max_lat,min_lat,max_lng,min_lng
亳州市,340000,34.076832,32.858179,116.828186,115.545852
池州市,340000,30.843789,29.564722,118.134951,116.651024
宣城市,340000,31.322676,29.944307,119.649144,117.970111
福州市,350000,26.634377,25.249862,120.516189,118.38209
厦门市,350000,24.902792,24.418307,118.414778,117.886012
莆田市,350000,25.760288,24.982319,119.669762,118.459897
三明市,350000,27.126307,25.477681,118.669933,116.384592
泉州市,350000,25.937016,24.371716,119.047634,117.555387
漳州市,350000,25.211693,23.528547,118.24053,116.895719
南平市,350000,28.312901,26.243434,119.275321,117.003407
龙岩市,350000,26.03308,24.369863,117.749061,115.85229
宁德市,350000,27.675362,26.275321,120.727321,118.548472
南昌市,360000,29.122388,28.157839,116.565482,115.438705
景德镇市,360000,29.927578,28.719209,117.707662,116.957078
萍乡市,360000,28.006307,26.95927,114.281953,113.578186
九江市,360000,30.077213,28.685179,116.900133,113.94206
新余市,360000,28.107643,27.530224,115.405804,114.485541
鹰潭市,360000,28.627069,27.848052,117.466052,116.691461
赣州市,360000,27.143656,24.486252,116.638211,113.913607
吉安市,360000,27.960504,25.972184,115.935357,113.834587
宜春市,360000,29.099707,27.545501,116.151432,113.891176
抚州市,360000,28.496885,26.499057,117.30609,115.591853
上饶市,360000,29.699254,27.800311,118.487106,116.237892
济南市,370000,37.532886,35.990621,117.975332,116.226065
青岛市,370000,37.149118,35.575601,121.017919,119.514825
淄博市,370000,37.28265,35.924326,118.522692,117.550206
枣庄市,370000,35.320479,34.461258,117.832494,116.811186
东营市,370000,38.157623,36.936349,119.309142,118.11243
烟台市,370000,38.402247,36.26216,121.934174,119.558217
潍坊市,370000,37.304466,35.709407,120.015209,118.176284
济宁市,370000,35.981899,34.44969,117.596915,115.870312
泰安市,370000,36.476049,35.630463,117.999231,116.048649
威海市,370000,37.575228,36.679497,122.71596,121.177558
日照市,370000,36.0384,35.070279,119.666538,118.601044
临沂市,370000,36.206648,34.377352,119.203239,117.418664
德州市,370000,38.011243,36.408916,117.606557,115.761379
聊城市,370000,37.032217,35.779921,116.549533,115.271448
滨州市,370000,38.311263,36.689651,118.41995,117.264379
菏泽市,370000,35.872783,34.551606,116.408796,114.819254
郑州市,410000,34.989506,34.262109,114.220961,112.721177
开封市,410000,35.0252,34.19727,115.267246,113.895671
洛阳市,410000,35.070236,33.570533,112.984738,111.138444
平顶山市,410000,34.345679,33.128414,113.688349,112.247705
安阳市,410000,36.36656,35.204858,114.988897,113.636861
鹤壁市,410000,36.052121,35.444514,114.753375,113.996018
新乡市,410000,35.837289,34.877702,115.017248,113.383155
焦作市,410000,35.495044,34.810741,113.646866,112.569217
濮阳市,410000,36.212988,35.337443,116.100242,114.874458
许昌市,410000,34.406932,33.68753,114.325057,113.066994
漯河市,410000,33.98724,33.404736,114.295333,113.466522
三门峡市,410000,35.083294,33.55048,112.032405,110.360476
南阳市,410000,33.801673,32.269201,113.814453,110.982874
商丘市,410000,34.860669,33.70816,116.651641,114.826887
信阳市,410000,32.659964,31.382371,115.943405,113.710246
周口市,410000,34.337315,33.052739,115.654332,114.09152
驻马店市,410000,33.530877,32.278718,115.219704,113.097764
济源市,410000,35.279896,34.893754,112.767324,112.035077
武汉市,420000,31.36126,29.969076,115.082572,113.702281
黄石市,420000,30.326216,29.508951,115.511592,114.531394
十堰市,420000,33.275616,31.506252,111.585837,109.438902
宜昌市,420000,31.56938,29.943074,112.086441,110.255636
襄阳市,420000,32.628729,31.228218,113.118715,110.763974
鄂州市,420000,30.616841,30.015509,115.088665,114.503813
荆门市,420000,31.61435,30.394458,113.49483,111.861107
孝感市,420000,31.854031,30.380003,114.59172,113.316679
荆州市,420000,30.659305,29.430766,114.091884,111.243799
黄冈市,420000,31.604906,29.721132,116.135188,114.402123
咸宁市,420000,30.297013,29.029488,114.969234,113.538307
随州市,420000,32.431988,31.326217,114.128641,112.729425
恩施土家族苗族自治州,420000,31.395723,29.115098,110.642767,108.366964
仙桃市,420000,30.531543,30.06783,113.824757,112.943424
潜江市,420000,30.644858,30.078164,113.033596,112.502247
天门市,420000,30.90375,30.378093,113.467362,112.592286
神农架林区,420000,31.860481,31.295158,110.982605,109.940552
长沙市,430000,28.661612,27.848072,114.261264,111.896256
株洲市,430000,28.024541,26.039876,114.110128,112.969421
湘潭市,430000,28.073564,27.338039,113.09128,111.999701
衡阳市,430000,27.468306,26.101051,113.283946,111.543611
邵阳市,430000,27.660103,25.962726,112.094013,109.826757
岳阳市,430000,29.848931,28.422183,114.157127,112.315726
常德市,430000,30.126363,28.404902,112.306387,110.491577
张家界市,430000,29.789678,28.874109,111.337528,109.701234
益阳市,430000,29.524275,27.974829,112.949378,110.721085
郴州市,430000,26.837559,24.890525,114.237509,112.229692
永州市,430000,26.868138,24.636323,112.458429,110.951707
怀化市,430000,29.035973,25.865948,111.115147,108.790841
娄底市,430000,28.234296,27.203953,112.524192,110.767768
湘西土家族苗族自治州,430000,29.634526,27.720287,110.396331,109.180592
广州市,440000,23.932987,22.51436,114.059957,112.958507
韶关市,440000,25.516771,23.887916,114.749356,112.851792
深圳市,440000,22.861748,22.396344,114.628466,113.751453
珠海市,440000,22.443655,21.806335,114.325757,113.084824
汕头市,440000,23.645782,23.039823,117.318621,116.24457
佛山市,440000,23.573451,22.642244,113.393428,112.390818
江门市,440000,22.856291,21.458709,113.262638,112.003474
湛江市,440000,21.955396,20.211718,110.977023,109.654936
茂名市,440000,22.704334,21.37103,111.683362,110.325496
肇庆市,440000,24.389374,22.769758,112.88328,111.361964
惠州市,440000,23.960195,22.400371,115.426531,113.813769
梅州市,440000,24.937692,23.373675,116.939474,115.316485
汕尾市,440000,23.472648,20.582652,116.933783,114.917832
河源市,440000,24.793381,23.16441,115.593066,114.241836
阳江市,440000,22.689731,21.4757,112.370087,111.283295
清远市,440000,25.191722,23.447571,113.931134,111.927434
东莞市,440000,23.14205,22.65421,114.260312,113.521542
中山市,440000,22.772602,22.201038,113.692042,113.157014
潮州市,440000,24.232804,23.424751,117.192939,116.36846
揭阳市,440000,23.775551,22.886182,116.633936,115.606563
云浮市,440000,23.32836,22.364457,112.521777,111.056988
南宁市,450000,24.032943,22.204184,109.621646,107.329323
柳州市,450000,26.047313,23.907141,110.177824,108.587687
桂林市,450000,26.385566,24.25883,111.492074,109.617685
梧州市,450000,24.404926,22.608111,111.667192,110.316906
北海市,450000,21.919038,20.898448,109.788923,108.850295
防城港市,450000,22.372281,21.489298,108.597035,107.481501
钦州市,450000,22.681402,21.581772,109.870977,108.183723
贵港市,450000,24.042181,22.652756,110.659215,109.207079
玉林市,450000,23.126275,21.62732,110.898851,109.54977
百色市,450000,25.099322,22.855544,107.884569,104.450132
贺州市,450000,25.151451,23.651749,112.061851,110.567472
河池市,450000,25.609192,23.553171,109.157994,106.571122
来宾市,450000,24.467561,23.266555,110.458463,108.415926
崇左市,450000,23.351489,21.593694,108.115707,106.560289
海口市,460000,20.115478,19.523873,110.713607,110.106537
三亚市,460000,18.623386,18.142592,109.810949,108.932391
三沙市,460000,19.531504,3.83703,117.846051,109.463995
儋州市,460000,19.925755,19.178935,109.769426,108.928684
五指山市,460000,19.03246,18.626904,109.731961,109.324317
琼海市,460000,19.468927,18.976335,110.730004,110.115273
文昌市,460000,20.163844,19.350316,111.278951,110.469723
万宁市,460000,19.103268,18.578854,110.610573,110.012657
东方市,460000,19.349277,18.715694,109.126075,108.587008
定安县,460000,19.728934,19.21322,110.551833,110.123967
屯昌县,460000,19.592903,19.133181,110.255517,109.821871
澄迈县,460000,20.026789,19.372983,110.262595,109.724977
临高县,460000,20.017396,19.573256,109.897079,109.498675
白沙黎族自治县,460000,19.487887,18.936015,109.7016,109.040571
昌江黎族自治县,460000,19.524361,18.878442,109.298192,108.644784
乐东黎族自治县,460000,18.96216,18.33536,109.407977,108.639396
陵水黎族自治县,460000,18.80935,18.34756,110.213961,109.755697
保亭黎族苗族自治县,460000,18.833744,18.387511,109.852106,109.404823
琼中黎族苗族自治县,460000,19.42,18.727858,110.158565,109.523821
重庆城区,500000,31.688817,28.450487,108.954551,105.28976
重庆郊县,500000,32.201187,28.160225,110.199858,107.228325
成都市,510000,31.435334,30.089534,104.897532,102.992886
自贡市,510000,29.637252,28.924103,105.272125,104.052639
攀枝花市,510000,27.342906,26.082396,102.247366,101.136471
泸州市,510000,29.32909,27.658982,106.380582,105.145137
德阳市,510000,31.698442,30.524985,105.175253,103.795433
绵阳市,510000,33.041989,30.706221,105.726228,103.748762
广元市,510000,32.933195,31.526957,106.776168,104.616247
遂宁市,510000,31.160904,30.173452,106.001273,105.05934
内江市,510000,30.039709,29.188498,105.443681,104.269526
乐山市,510000,29.928581,28.420651,104.252118,102.909046
南充市,510000,31.848833,30.458013,106.964968,105.44075
眉山市,510000,30.360786,29.397766,104.503933,102.822879
宜宾市,510000,29.265605,27.840579,105.358462,103.61289
广安市,510000,30.840528,30.015967,107.304738,105.947571
达州市,510000,32.338246,30.321956,108.546712,106.666102
雅安市,510000,30.936781,28.845463,103.395135,101.93598
巴中市,510000,32.739379,31.247175,107.763942,106.363495
资阳市,510000,30.630459,29.673995,105.753844,104.43537
阿坝藏族羌族自治州,510000,34.312999,30.594502,104.437444,100.526989
甘孜藏族自治州,510000,34.209761,27.961249,102.494447,97.348081
凉山彝族自治州,510000,29.303086,26.045865,103.877419,100.061499
贵阳市,520000,27.357802,26.183396,107.279236,106.125092
六盘水市,520000,26.917752,25.328576,105.72287,104.308519
遵义市,520000,29.221275,27.1401,108.213695,105.609351
安顺市,520000,26.624424,25.354189,106.565101,105.248585
毕节市,520000,27.775436,26.359663,106.726244,103.601439
铜仁市,520000,29.09133,27.121197,109.470465,107.755214
黔西南布依族苗族自治州,520000,26.175681,24.618221,106.531605,104.52865
黔东南苗族侗族自治州,520000,27.521621,25.306325,109.597755,107.298948
黔南布依族苗族自治州,520000,27.479849,25.059829,108.30543,106.211615
昆明市,530000,26.541846,24.3852,103.67025,102.171088
曲靖市,530000,27.051687,24.34834,104.827969,103.059525
玉溪市,530000,24.952363,23.314666,103.151679,101.27681
保山市,530000,25.856346,24.121238,100.047399,98.089475
昭通市,530000,28.668264,26.533142,105.316381,102.871153
丽江市,530000,27.924198,25.98514,101.513619,99.383373
普洱市,530000,24.822081,22.02503,102.32345,99.155862
临沧市,530000,25.03284,23.073181,100.546942,98.668863
楚雄彝族自治州,530000,26.499681,24.220431,102.482276,100.720598
红河哈尼族彝族自治州,530000,24.764576,22.441272,104.282525,101.800053
文山壮族苗族自治州,530000,24.472644,22.688161,106.197722,103.57491
西双版纳傣族自治州,530000,22.594469,21.14177,101.835428,99.944208
大理白族自治州,530000,26.695862,24.661696,101.043919,98.863728
德宏傣族景颇族自治州,530000,25.336057,23.841018,98.727016,97.52773
怒江傈僳族自治州,530000,28.394462,25.549522,99.643359,98.132105
迪庆藏族自治州,530000,29.223327,26.866007,100.309178,98.594008
拉萨市,540000,31.055864,29.237484,92.625365,89.75467
日喀则市,540000,31.806989,27.209056,90.34917,82.143466
昌都市,540000,32.587241,28.435266,99.116241,93.598649
林芝市,540000,30.666122,27.555432,98.753605,92.165951
山南市,540000,29.823054,26.854815,94.364879,90.063731
