district_name,city_name,city_id,max_lat,min_lat,max_lng,min_lng
信都区,邢台市,130000,37.362904,36.942424,114.511891,113.758151
任泽区,邢台市,130000,37.286853,37.070829,114.92811,114.574166
南和区,邢台市,130000,37.106033,36.913573,114.908117,114.590928
临城县,邢台市,130000,37.578539,37.347616,114.63219,114.069193
内丘县,邢台市,130000,37.443466,37.170836,114.650501,113.961809
柏乡县,邢台市,130000,37.630678,37.405945,114.787215,114.602482
隆尧县,邢台市,130000,37.552636,37.201344,115.020565,114.562556
宁晋县,邢台市,130000,37.812803,37.403436,115.262668,114.764317
巨鹿县,邢台市,130000,37.426438,37.12477,115.227962,114.842563
新河县,邢台市,130000,37.577653,37.391952,115.455309,115.088264
广宗县,邢台市,130000,37.298126,36.850338,115.301773,115.104323
平乡县,邢台市,130000,37.162954,36.946666,115.135162,114.868258
威县,邢台市,130000,37.297838,36.86257,115.587397,115.202457
清河县,邢台市,130000,37.184292,36.924734,115.853918,115.51322
临西县,邢台市,130000,36.944379,36.752144,115.768723,115.301966
南宫市,邢台市,130000,37.448169,37.090394,115.765359,115.14423
沙河市,邢台市,130000,37.048664,36.827944,114.671071,113.837243
竞秀区,保定市,130000,38.956739,38.808872,115.491674,115.336748
莲池区,保定市,130000,38.957106,38.78304,115.603728,115.380354
满城区,保定市,130000,39.126794,38.727786,115.489025,114.95462
清苑区,保定市,130000,38.925965,38.55076,115.763277,115.233927
徐水区,保定市,130000,39.165734,38.878956,115.783577,115.325212
涞水县,保定市,130000,39.952566,39.295323,115.818691,114.999739
阜平县,保定市,130000,39.137344,38.657791,114.538895,113.767545
定兴县,保定市,130000,39.331257,39.09891,115.974894,115.512658
唐县,保定市,130000,39.154375,38.618569,115.069079,114.472599
高阳县,保定市,130000,38.782439,38.510111,115.974988,115.621331
容城县,保定市,130000,39.138691,38.952602,116.075344,115.75454
涞源县,保定市,130000,39.693398,39.028154,115.08849,114.349017
望都县,保定市,130000,38.806664,38.509388,115.309036,115.02957
安新县,保定市,130000,39.036606,38.727196,116.125602,115.641442
易县,保定市,130000,39.599103,39.046738,115.642729,114.852986
曲阳县,保定市,130000,38.954893,38.473447,114.888657,114.413653
蠡县,保定市,130000,38.672275,38.340607,115.848504,115.475848
顺平县,保定市,130000,39.120149,38.742253,115.288936,114.840664
博野县,保定市,130000,38.577338,38.315859,115.651597,115.314506
雄县,保定市,130000,39.164298,38.920875,116.335359,116.029084
涿州市,保定市,130000,39.600833,39.352205,116.248349,115.743697
定州市,保定市,130000,38.67241,38.235197,115.264257,114.811515
安国市,保定市,130000,38.554894,38.23474,115.502319,115.179976
高碑店市,保定市,130000,39.387473,39.097346,116.221824,115.79018
桥东区,张家口市,130000,40.847389,40.663841,115.264204,114.849057
桥西区,张家口市,130000,40.96574,40.644642,114.973317,114.765956
宣化区,张家口市,130000,40.810339,40.154835,115.527012,114.701736
下花园区,张家口市,130000,40.631878,40.438527,115.496626,115.131642
万全区,张家口市,130000,41.020608,40.675849,114.841732,114.352862
崇礼区,张家口市,130000,41.294266,40.777351,115.572896,114.7966
张北县,张家口市,130000,41.576113,40.951946,115.460414,114.181377
康保县,张家口市,130000,42.149634,41.428073,114.939182,114.199489
沽源县,张家口市,130000,41.945133,41.234336,116.083978,114.850201
尚义县,张家口市,130000,41.538212,40.730761,114.451233,113.819304
蔚县,张家口市,130000,40.198955,39.55574,115.070484,114.198479
阳原县,张家口市,130000,40.378461,39.897619,114.813417,113.910621
怀安县,张家口市,130000,40.761104,40.343283,114.802336,114.139525
怀来县,张家口市,130000,40.587881,40.065471,115.968982,115.284608
涿鹿县,张家口市,130000,40.491974,39.672634,115.513205,114.928469
赤城县,张家口市,130000,41.38999,40.512756,116.465844,115.433879
双桥区,承德市,130000,41.138681,40.73567,118.129431,117.84603
双滦区,承德市,130000,41.204163,40.801068,117.900392,117.63581
鹰手营子矿区,承德市,130000,40.624803,40.475658,117.886548,117.582011
承德县,承德市,130000,41.47129,40.570263,118.563073,117.500597
兴隆县,承德市,130000,40.713472,40.192023,118.260849,117.208425
滦平县,承德市,130000,41.265451,40.657761,117.780521,116.67762
隆化县,承德市,130000,41.838376,41.145833,118.31646,116.798484
丰宁满族自治县,承德市,130000,42.009944,40.896002,117.399833,115.909991
宽城满族自治县,承德市,130000,40.75655,40.287549,119.18583,118.185278
围场满族蒙古族自治县,承德市,130000,42.619718,41.593187,118.340222,116.693766
平泉市,承德市,130000,41.374537,40.675493,119.249371,118.35815
新华区,沧州市,130000,38.367378,38.248382,116.960581,116.857245
运河区,沧州市,130000,38.414758,38.21554,116.89186,116.766679
沧县,沧州市,130000,38.54478,38.082424,117.153094,116.457851
青县,沧州市,130000,38.746691,38.385594,117.099037,116.589891
东光县,沧州市,130000,38.02843,37.735194,116.889933,116.465481
海兴县,沧州市,130000,38.28386,37.934208,117.848487,117.325026
盐山县,沧州市,130000,38.121735,37.836404,117.509745,117.002504
肃宁县,沧州市,130000,38.535618,38.274146,116.052421,115.705289
南皮县,沧州市,130000,38.184938,37.83237,117.045764,116.54773
吴桥县,沧州市,130000,37.791304,37.47335,116.705631,116.327858
献县,沧州市,130000,38.375345,38.059518,116.505427,115.829931
孟村回族自治县,沧州市,130000,38.241852,37.94386,117.352069,117.014853
泊头市,沧州市,130000,38.222812,37.910232,116.760217,116.04246
任丘市,沧州市,130000,38.948381,38.553393,116.435806,115.944029
黄骅市,沧州市,130000,38.643874,38.154614,117.958013,117.085117
河间市,沧州市,130000,38.675502,38.309261,116.643379,115.925229
安次区,廊坊市,130000,39.549315,39.142835,116.892761,116.596508
广阳区,廊坊市,130000,39.624704,39.452635,116.826202,116.401707
固安县,廊坊市,130000,39.517344,39.132183,116.481852,116.116676
永清县,廊坊市,130000,39.478938,39.129647,116.750578,116.378348
香河县,廊坊市,130000,39.858042,39.616979,117.2059,116.882759
大城县,廊坊市,130000,38.874714,38.470316,116.775063,116.36639
文安县,廊坊市,130000,39.059096,38.736334,116.759353,116.19876
大厂回族自治县,廊坊市,130000,39.983479,39.822998,117.071854,116.812298
霸州市,廊坊市,130000,39.220792,38.984127,116.926122,116.262826
三河市,廊坊市,130000,40.085011,39.808154,117.259987,116.757202
桃城区,衡水市,130000,37.837891,37.599379,115.84921,115.426113
冀州区,衡水市,130000,37.742019,37.31566,115.691932,115.172741
枣强县,衡水市,130000,37.65717,37.216976,115.977274,115.565642
武邑县,衡水市,130000,38.006138,37.62728,116.125647,115.753306
