fullSpell,desc,count,countStr,countUnit,price,priceStr,priceUnit,border,bubbleDesc,icon,entityId,entityType,id,name,longitude,latitude,imageType,selected
c1111027378997,12.7万(30套),30,30套,套,127206,12.7万,元,"116.390763,39.964255;116.386963,39.964113;116.386968,39.963771;116.387722,39.963799;116.387835,39.963723;116.388235,39.963739;116.388532,39.963117;116.388684,39.963086;116.388896,39.962844;116.388976,39.962689;116.389748,39.962717;116.389784,39.961815;116.391186,39.961873;116.391123,39.963149;116.390781,39.963114",人定湖西里,,1111027378997,resblock,1111027378997,人定湖西里,116.389326,39.963727,30002,False
c1111027379983,13.7万(30套),30,30套,套,137460,13.7万,元,"116.389757,39.890302;116.389739,39.890309;116.389573,39.889942;116.390678,39.889987;116.390637,39.890655;116.390597,39.890945;116.390399,39.891132;116.389654,39.891094;116.388733,39.891053;116.388657,39.890928;116.388679,39.890599;116.388733,39.889935;116.389573,39.889945;116.389667,39.890309;116.389667,39.890323;116.389577,39.890253",陶然北岸,,1111027379983,resblock,1111027379983,陶然北岸,116.389739,39.890281,30002,False
c1111027380578,6.3万(30套),30,30套,套,63227,6.3万,元,"116.446782,39.972728;116.445793,39.973417;116.444778,39.972612;116.44353,39.973455;116.444459,39.974277;116.443638,39.97476;116.443153,39.973896;116.442435,39.973882;116.442483,39.971907;116.443827,39.971864;116.443881,39.970807;116.443405,39.970344;116.442488,39.970337;116.442551,39.969639;116.443162,39.969321",西坝河西里,,1111027380578,resblock,1111027380578,西坝河西里,116.442526,39.972399,30002,False
c1111027381655,9.8万(30套),30,30套,套,98209,9.8万,元,"116.446522,39.940643;116.447788,39.94064;116.447779,39.941594;116.448152,39.941611;116.448121,39.942275;116.446576,39.942286",阳光都市,,1111027381655,resblock,1111027381655,阳光都市,116.447331,39.941506,30002,False
c1111027375181,7.5万(29套),29,29套,套,74937,7.5万,元,"116.431493,39.974802;116.43276,39.974905;116.432778,39.975196;116.435527,39.975023;116.435482,39.974677;116.433056,39.974664;116.433002,39.972424;116.433155,39.972258;116.433146,39.97203;116.432391,39.972037;116.4324,39.971346;116.433254,39.971353;116.433263,39.971774;116.435643,39.971871;116.435625,39.972279;116.43655,39.972328;116.436523,39.971454;116.436299,39.971436;116.432409,39.97127;116.431574,39.971194",和平街十二区,,1111027375181,resblock,1111027375181,和平街十二区,116.432683,39.973614,30002,False
c1111027375640,13.3万(29套),29,29套,套,132825,13.3万,元,"116.388446,39.937338;116.387943,39.937324;116.387987,39.936958;116.386492,39.936813;116.386475,39.936646;116.386268,39.936605;116.386537,39.93434;116.387045,39.934364;116.387054,39.93443;116.387189,39.934779;116.387328,39.934807;116.387328,39.935436;116.38841,39.935464",爱民里小区,,1111027375640,resblock,1111027375640,爱民里小区,116.387408,39.935904,30002,False
c1111027376670,10.6万(29套),29,29套,套,105764,10.6万,元,"116.432714,39.929548;116.433217,39.929528;116.433168,39.929296;116.432728,39.929275;116.432741,39.927992;116.43372,39.927885;116.433711,39.927729;116.433343,39.927646;116.433361,39.927256;116.433019,39.926574;116.433311,39.926145;116.433271,39.925558;116.433846,39.925654;116.433846,39.925533;116.433298,39.925457;116.433585,39.92368;116.433132,39.92314;116.433675,39.922601;116.433594,39.921816;116.43319,39.921397;116.434704,39.921411;116.434713,39.921027;116.433199,39.921349;116.433258,39.919453;116.433841,39.919464;116.433783,39.918717;116.434596,39.918578;116.434533,39.918236;116.433276,39.918291;116.432377,39.918271;116.432202,39.919606;116.433226,39.920259;116.432624,39.922345;116.432548,39.922985;116.433096,39.923081;116.432678,39.923659;116.432543,39.925236;116.433037,39.925509;116.43302,39.927053;116.43275,39.928006",朝阳门南小街,,1111027376670,resblock,1111027376670,朝阳门南小街,116.433451,39.923705,30002,False
c1111027379997,4.8万(29套),29,29套,套,47972,4.8万,元,"116.424828,39.859434;116.425205,39.859212;116.426822,39.859129;116.426831,39.860611;116.426678,39.861497;116.425996,39.861441;116.425852,39.861704;116.425187,39.861725;116.425223,39.859821",同仁园,,1111027379997,resblock,1111027379997,同仁园,116.426314,39.860722,30002,False
c1111027381270,13.9万(29套),29,29套,套,139305,13.9万,元,"116.377397,39.968263;116.379602,39.96842;116.379714,39.967614;116.380828,39.967652;116.380788,39.968506;116.380856,39.96884;116.380653,39.970348;116.37962,39.970275;116.379669,39.969066;116.377356,39.969045",新外大街甲8号...,,1111027381270,resblock,1111027381270,新外大街甲8号院,116.378553,39.968971,30002,False
c1111027381973,5.1万(29套),29,29套,套,50746,5.1万,元,"116.390162,39.865803;116.386865,39.865761;116.385015,39.866204;116.385015,39.865484;116.384754,39.865027;116.3847,39.863497;116.38992,39.863636",洋桥西里,,1111027381973,resblock,1111027381973,洋桥西里,116.387363,39.864499,30002,False
c1111027374689,10.1万(28套),28,28套,套,100961,10.1万,元,"116.43151,39.904926;116.433109,39.904943;116.433227,39.903555;116.431528,39.903521",国瑞城东区,,1111027374689,resblock,1111027374689,国瑞城东区,116.43164,39.904426,30002,False
c1111027375215,11.7万(28套),28,28套,套,116879,11.7万,元,"116.432121,39.95747;116.433235,39.957453;116.433249,39.958687;116.432094,39.958673",和平新城一期,,1111027375215,resblock,1111027375215,和平新城一期,116.432835,39.957774,30002,False
c1111027378025,14.4万(28套),28,28套,套,143879,14.4万,元,"116.400044,39.958267;116.398427,39.958288;116.398422,39.958617;116.397739,39.958606;116.397717,39.958938;116.39667,39.958928;116.396643,39.959436;116.397007,39.959432;116.397003,39.959194;116.397483,39.959125;116.397447,39.958966;116.399877,39.958993;116.399877,39.95927;116.399114,39.959277;116.3991,39.959564;116.400008,39.959619",六铺炕一区,,1111027378025,resblock,1111027378025,六铺炕一区,116.399275,39.958385,30002,False
